Date,Close,Currency,High,Low,Open,Volume
2010-10-26,4.27,USD,4.37,4.1,4.16,3304205
2010-10-27,4.2,USD,4.28,4.13,4.25,1782500
2010-10-28,4.24,USD,4.3,4.19,4.28,1120950
2010-10-29,4.37,USD,4.37,4.21,4.23,1403410
2010-11-01,4.28,USD,4.55,4.26,4.39,2278920
2010-11-02,4.25,USD,4.38,4.21,4.34,1612325
2010-11-03,4.35,USD,4.5,4.23,4.26,1870995
2010-11-04,4.98,USD,5.07,4.43,4.52,9374005
2010-11-05,4.89,USD,4.99,4.74,4.97,5054730
2010-11-08,5.0,USD,5.0,4.81,4.9,2547375
2010-11-09,4.93,USD,5.14,4.81,5.0,4788745
2010-11-10,5.87,USD,5.99,4.81,4.9,15305190
2010-11-11,5.61,USD,5.82,5.47,5.72,9725470
2010-11-12,5.97,USD,6.1,5.61,5.65,13645845
2010-11-15,6.16,USD,6.59,6.04,6.04,13125665
2010-11-16,5.93,USD,6.28,5.68,6.2,6738655
2010-11-17,5.9,USD,6.15,5.72,6.04,3751705
2010-11-18,5.98,USD,6.15,5.78,6.13,4781240
2010-11-19,6.2,USD,6.27,5.94,6.03,5752470
2010-11-22,6.68,USD,6.69,6.3,6.31,7649860
2010-11-23,6.91,USD,7.14,6.44,6.66,7890350
2010-11-24,7.09,USD,7.19,6.87,7.05,7124795
2010-11-26,7.06,USD,7.2,6.95,7.12,1752770
2010-11-29,6.87,USD,7.19,6.67,7.08,5727715
2010-11-30,7.07,USD,7.07,6.68,6.75,11114790
2010-12-01,6.87,USD,7.28,6.69,7.17,6495875
2010-12-02,6.47,USD,6.86,6.24,6.8,10034835
2010-12-03,6.3,USD,6.45,6.17,6.4,5802300
2010-12-06,6.06,USD,6.29,5.91,6.27,6371875
2010-12-07,6.31,USD,6.48,6.01,6.1,6557740
2010-12-08,6.47,USD,6.5,6.3,6.5,3304900
2010-12-09,6.41,USD,6.54,6.33,6.5,2029915
2010-12-10,6.3,USD,6.58,6.23,6.41,2146905
2010-12-13,6.11,USD,6.35,6.08,6.33,2051655
2010-12-14,5.71,USD,6.08,5.55,6.06,8834550
2010-12-15,5.92,USD,5.99,5.71,5.73,3714500
2010-12-16,6.16,USD,6.18,5.93,6.0,3950350
2010-12-17,6.27,USD,6.31,6.14,6.27,4069085
2010-12-20,6.34,USD,6.44,6.25,6.33,2616600
2010-12-21,6.45,USD,6.54,6.34,6.36,3888390
2010-12-22,6.53,USD,6.57,6.34,6.45,4166280
2010-12-23,6.02,USD,6.5,5.98,6.25,7785625
2010-12-27,5.11,USD,5.72,5.01,5.6,46511644
2010-12-28,5.28,USD,5.35,5.0,5.17,20282944
2010-12-29,5.55,USD,5.6,5.3,5.41,16597150
2010-12-30,5.3,USD,5.58,5.28,5.54,10205335
2010-12-31,5.33,USD,5.45,5.3,5.31,7089235
2011-01-03,5.32,USD,5.4,5.18,5.37,6420420
2011-01-04,5.33,USD,5.39,5.2,5.33,5945355
2011-01-05,5.37,USD,5.38,5.24,5.3,7234345
2011-01-06,5.58,USD,5.6,5.36,5.37,10306085
2011-01-07,5.65,USD,5.72,5.58,5.6,11247700
2011-01-10,5.69,USD,5.74,5.61,5.63,6714060
2011-01-11,5.39,USD,5.74,5.38,5.72,8556775
2011-01-12,5.39,USD,5.48,5.3,5.4,4823610
2011-01-13,5.24,USD,5.39,5.23,5.39,3617610
2011-01-14,5.15,USD,5.32,5.12,5.23,5960605
2011-01-18,5.13,USD,5.13,4.95,5.1,8119195
2011-01-19,4.81,USD,5.09,4.75,5.05,11857570
2011-01-20,4.52,USD,4.89,4.47,4.81,11399790
2011-01-21,4.61,USD,4.72,4.54,4.62,6084705
2011-01-24,4.9,USD,4.96,4.65,4.71,8225945
2011-01-25,4.94,USD,4.98,4.8,4.93,6357785
2011-01-26,4.95,USD,4.98,4.82,4.94,5399335
2011-01-27,4.98,USD,5.02,4.91,4.95,4478275
2011-01-28,4.8,USD,4.98,4.75,4.98,5244055
2011-01-31,4.82,USD,4.82,4.7,4.81,4157875
2011-02-01,4.78,USD,4.95,4.71,4.86,3538955
2011-02-02,4.79,USD,4.84,4.73,4.83,2847360
2011-02-03,4.73,USD,4.78,4.63,4.76,2560335
2011-02-04,4.69,USD,4.73,4.64,4.69,2719585
2011-02-07,4.61,USD,4.65,4.58,4.65,4475055
2011-02-08,4.9,USD,5.05,4.6,4.76,17525916
2011-02-09,4.64,USD,4.84,4.56,4.83,13181310
2011-02-10,4.64,USD,4.73,4.56,4.65,4180100
2011-02-11,4.65,USD,4.75,4.59,4.65,3183010
2011-02-14,4.62,USD,4.83,4.61,4.73,6417020
2011-02-15,4.57,USD,4.63,4.51,4.6,4804255
2011-02-16,4.95,USD,4.99,4.61,4.62,20579030
2011-02-17,4.72,USD,5.1,4.71,4.93,13099710
2011-02-18,4.64,USD,4.7,4.59,4.67,11853850
2011-02-22,4.37,USD,4.6,4.36,4.58,10322700
2011-02-23,4.37,USD,4.5,4.22,4.44,8028540
2011-02-24,4.51,USD,4.52,4.3,4.36,5277250
2011-02-25,4.72,USD,4.77,4.54,4.56,6736285
2011-02-28,4.78,USD,4.82,4.7,4.75,5255530
2011-03-01,4.79,USD,4.86,4.74,4.81,5531750
2011-03-02,4.8,USD,4.86,4.75,4.76,3316470
2011-03-03,4.87,USD,4.96,4.81,4.9,3200700
2011-03-04,4.99,USD,5.0,4.76,4.9,7900500
2011-03-07,4.99,USD,5.08,4.94,4.99,10167655
2011-03-08,4.93,USD,4.99,4.8,4.92,6999255
2011-03-09,4.94,USD,5.0,4.85,4.93,4623605
2011-03-10,4.8,USD,4.9,4.75,4.89,5085235
2011-03-11,4.81,USD,4.85,4.71,4.77,4653970
2011-03-14,4.65,USD,4.8,4.64,4.76,5829855
2011-03-15,4.59,USD,4.59,4.36,4.44,6594345
2011-03-16,4.56,USD,4.65,4.54,4.57,5848380
2011-03-17,4.56,USD,4.69,4.53,4.65,4612520
2011-03-18,4.59,USD,4.64,4.5,4.64,3439115
2011-03-21,4.55,USD,4.61,4.51,4.61,2058250
2011-03-22,4.44,USD,4.57,4.4,4.55,2914065
2011-03-23,4.44,USD,4.45,4.35,4.42,2113965
2011-03-24,4.47,USD,4.48,4.4,4.43,2310800
2011-03-25,4.55,USD,4.6,4.48,4.49,2839610
2011-03-28,4.65,USD,4.71,4.51,4.54,5290090
2011-03-29,4.78,USD,4.8,4.64,4.66,3777955
2011-03-30,4.74,USD,4.9,4.6,4.82,6119385
2011-03-31,5.55,USD,5.74,5.3,5.31,57611684
2011-04-01,5.33,USD,5.64,5.31,5.49,14325435
2011-04-04,5.17,USD,5.4,5.05,5.37,13046135
2011-04-05,5.34,USD,5.4,5.14,5.18,15908635
2011-04-06,5.3,USD,5.4,5.16,5.4,6441485
2011-04-07,5.45,USD,5.59,5.29,5.37,14053830
2011-04-08,5.3,USD,5.52,5.27,5.52,9731760
2011-04-11,5.05,USD,5.31,5.0,5.29,6861000
2011-04-12,4.93,USD,5.04,4.86,5.02,6787005
2011-04-13,4.99,USD,5.14,4.96,5.03,6057220
2011-04-14,5.03,USD,5.06,4.84,4.97,4916910
2011-04-15,5.12,USD,5.24,5.08,5.13,4717255
2011-04-18,5.01,USD,5.12,4.87,5.03,5169355
2011-04-19,5.03,USD,5.05,4.93,5.05,2743465
2011-04-20,5.15,USD,5.22,5.06,5.14,4187345
2011-04-21,5.35,USD,5.4,5.12,5.17,6930265
2011-04-25,5.28,USD,5.35,5.19,5.34,4004195
2011-04-26,5.39,USD,5.45,5.26,5.33,6861715
2011-04-27,5.42,USD,5.47,5.33,5.39,4984505
2011-04-28,5.53,USD,5.54,5.34,5.41,8224985
2011-04-29,5.52,USD,5.57,5.48,5.54,3631700
2011-05-02,5.49,USD,5.56,5.41,5.52,3922800
2011-05-03,5.37,USD,5.48,5.3,5.48,4569825
2011-05-04,5.34,USD,5.4,5.15,5.36,5235845
2011-05-05,5.29,USD,5.49,5.23,5.44,6097245
2011-05-06,5.42,USD,5.54,5.32,5.38,4908030
2011-05-09,5.58,USD,5.6,5.37,5.4,4581515
2011-05-10,5.67,USD,5.79,5.58,5.65,7678130
2011-05-11,5.41,USD,5.66,5.38,5.64,4814825
2011-05-12,5.53,USD,5.55,5.33,5.41,3138700
2011-05-13,5.51,USD,5.64,5.46,5.6,3307885
2011-05-16,5.32,USD,5.6,5.31,5.6,3778110
2011-05-17,5.19,USD,5.4,5.14,5.4,6170780
2011-05-18,5.27,USD,5.29,5.1,5.22,3647035
2011-05-19,5.64,USD,5.69,5.32,5.41,13276835
2011-05-20,5.59,USD,5.66,5.47,5.65,4212670
2011-05-23,5.36,USD,5.52,5.32,5.52,4317740
2011-05-24,5.34,USD,5.5,5.32,5.4,3068365
2011-05-25,5.8,USD,5.8,5.23,5.38,23469056
2011-05-26,5.9,USD,5.95,5.62,5.76,16684455
2011-05-27,5.91,USD,5.93,5.76,5.91,8435345
2011-05-31,6.03,USD,6.06,5.91,5.94,16452610
2011-06-01,5.7,USD,6.02,5.68,6.0,7651980
2011-06-02,5.75,USD,5.86,5.7,5.7,4931470
2011-06-03,6.03,USD,6.3,5.9,5.99,31051044
2011-06-06,5.74,USD,6.03,5.65,6.02,11658835
2011-06-07,5.67,USD,5.88,5.65,5.79,6110495
2011-06-08,5.42,USD,5.72,5.4,5.69,8484680
2011-06-09,5.52,USD,5.62,5.42,5.49,8021100
2011-06-10,5.57,USD,5.66,5.47,5.5,7832660
2011-06-13,5.69,USD,5.78,5.58,5.61,8568805
2011-06-14,5.72,USD,5.94,5.7,5.71,7866550
2011-06-15,5.46,USD,5.69,5.41,5.69,6732895
2011-06-16,5.3,USD,5.6,5.15,5.53,9210620
2011-06-17,5.3,USD,5.54,5.23,5.37,8569825
2011-06-20,5.2,USD,5.29,5.1,5.26,7688545
2011-06-21,5.51,USD,5.55,5.2,5.25,7482815
2011-06-22,5.44,USD,5.65,5.42,5.47,7377665
2011-06-23,5.54,USD,5.54,5.24,5.44,5849950
2011-06-24,5.51,USD,5.59,5.45,5.53,18044290
2011-06-27,5.49,USD,5.66,5.46,5.55,9046835
2011-06-28,5.62,USD,5.65,5.53,5.56,4445660
2011-06-29,5.66,USD,5.82,5.61,5.7,7308540
2011-06-30,5.83,USD,5.87,5.68,5.7,4733270
2011-07-01,5.8,USD,5.92,5.76,5.81,4274195
2011-07-05,5.83,USD,5.9,5.74,5.8,4979945
2011-07-06,5.79,USD,5.83,5.71,5.83,4634445
2011-07-07,5.95,USD,6.0,5.8,5.83,6639105
2011-07-08,5.76,USD,5.98,5.72,5.98,6202900
2011-07-11,5.67,USD,5.71,5.6,5.68,4878515
2011-07-12,5.63,USD,5.82,5.6,5.67,5227030
2011-07-13,5.73,USD,5.81,5.58,5.69,5329710
2011-07-14,5.52,USD,5.79,5.45,5.71,5795655
2011-07-15,5.52,USD,5.57,5.48,5.56,3544770
2011-07-18,5.45,USD,5.49,5.33,5.47,4261585
2011-07-19,5.58,USD,5.62,5.51,5.52,5130240
2011-07-20,5.74,USD,6.09,5.56,5.6,15241970
2011-07-21,5.74,USD,5.83,5.62,5.78,5060030
2011-07-22,5.86,USD,5.91,5.71,5.74,2919340
2011-07-25,5.7,USD,5.85,5.69,5.8,3367455
2011-07-26,5.6,USD,5.75,5.59,5.66,3814660
2011-07-27,5.53,USD,5.7,5.5,5.7,4792015
2011-07-28,5.63,USD,5.71,5.51,5.52,4693645
2011-07-29,5.63,USD,5.68,5.5,5.56,4740635
2011-08-01,5.75,USD,5.8,5.64,5.73,5824110
2011-08-02,5.47,USD,5.84,5.45,5.74,7746600
2011-08-03,5.44,USD,5.57,5.27,5.5,9006645
2011-08-04,4.95,USD,5.38,4.93,5.3,15327980
2011-08-05,4.85,USD,5.08,4.57,5.0,9821880
2011-08-08,4.73,USD,4.89,4.62,4.62,13042860
2011-08-09,5.01,USD,5.09,4.74,4.83,6666910
2011-08-10,4.76,USD,5.09,4.73,5.09,7820735
2011-08-11,5.06,USD,5.15,4.8,4.81,4182420
2011-08-12,5.26,USD,5.43,5.07,5.12,5045100
2011-08-15,5.25,USD,5.35,5.19,5.32,3692860
2011-08-16,5.22,USD,5.31,5.17,5.23,2688440
2011-08-17,5.17,USD,5.33,5.1,5.28,3218860
2011-08-18,4.85,USD,5.03,4.69,5.0,5282845
2011-08-19,4.46,USD,4.84,4.4,4.77,6876385
2011-08-22,4.39,USD,4.76,4.34,4.62,4930905
2011-08-23,4.59,USD,4.62,4.3,4.39,4344840
2011-08-24,4.77,USD,4.79,4.57,4.62,3421190
2011-08-25,4.62,USD,4.77,4.58,4.77,3401050
2011-08-26,4.75,USD,4.79,4.41,4.54,3808780
2011-08-29,4.94,USD,4.97,4.8,4.84,4016510
2011-08-30,4.93,USD,4.95,4.82,4.9,1833295
2011-08-31,4.95,USD,5.1,4.86,4.96,4118675
2011-09-01,4.8,USD,4.97,4.77,4.93,4240425
2011-09-02,4.61,USD,4.8,4.54,4.73,3851655
2011-09-06,4.59,USD,4.64,4.46,4.5,4048800
2011-09-07,4.77,USD,4.8,4.66,4.68,2295930
2011-09-08,4.72,USD,4.81,4.66,4.72,2528485
2011-09-09,4.59,USD,4.71,4.51,4.67,3346315
2011-09-12,4.58,USD,4.66,4.49,4.5,2832855
2011-09-13,4.82,USD,4.82,4.55,4.6,3632305
2011-09-14,4.87,USD,4.97,4.76,4.85,4153885
2011-09-15,4.96,USD,4.99,4.87,4.92,2812560
2011-09-16,5.16,USD,5.17,4.9,4.96,7087870
2011-09-19,5.15,USD,5.16,4.76,4.99,5786745
2011-09-20,5.2,USD,5.32,5.13,5.2,5901755
2011-09-21,5.17,USD,5.39,5.14,5.19,4937885
2011-09-22,5.13,USD,5.22,4.98,5.13,3880010
2011-09-23,5.28,USD,5.32,5.07,5.1,5781640
2011-09-26,5.1,USD,5.3,4.98,5.3,4673575
2011-09-27,5.24,USD,5.4,5.11,5.2,3372145
2011-09-28,4.92,USD,5.3,4.9,5.2,3616030
2011-09-29,4.82,USD,5.16,4.71,5.14,4647725
2011-09-30,4.88,USD,4.98,4.7,4.96,6680270
2011-10-03,4.75,USD,5.0,4.65,4.99,5115650
2011-10-04,4.73,USD,4.86,4.59,4.66,6001070
2011-10-05,5.07,USD,5.17,4.67,4.81,6147070
2011-10-06,5.39,USD,5.52,5.0,5.07,8845130
